"Worker job";"test"
"Field trials officer";"Gonzales-Hopkins"
"Industrial/product designer";"Flores-Rice"
"Designer, multimedia";"Carter, Thornton and White"
"Magazine features editor";"Tucker, Johnson and Graves"
"Designer, exhibition/display";"Henderson, Newton and Castillo"
"Sports administrator";"Scott-Perez"
"Programmer, systems";"Matthews PLC"
"Sound technician, broadcasting/film/video";"Vang, Powell and Martin"
"Teacher, music";"Diaz, Holt and Pruitt"
"Designer, textile";"Davis-Mccarthy"
